batch size,trial #,exact objective val,exact time,naive obective val,naive time,inexact objective val,inexact time,greedy objective val,greedy time
10,0,598.42,0.6731610298156738,904.4599999999999,0.000164031982421875,741.51,0.053914785385131836,810.99,0.0035228729248046875
10,1,3985.849999999999,0.11911511421203613,4213.03,0.00019216537475585938,3985.8499999999995,0.11250782012939453,4173.78,0.008134841918945312
10,2,3754.5600000000004,0.12880921363830566,6358.09,0.0001342296600341797,3754.5599999999995,0.08027410507202148,4839.63,0.005846977233886719
10,3,916.9000000000001,0.0658109188079834,1789.1899999999998,0.00011110305786132812,956.1500000000001,0.04131770133972168,1089.83,0.002363920211791992
10,4,409.77,0.1115257740020752,509.60999999999996,0.0001220703125,509.60999999999996,0.04897308349609375,482.33,0.0033028125762939453
20,0,1098.3999999999999,0.15644001960754395,1620.7899999999997,0.0002110004425048828,1755.94,0.0708010196685791,2223.97,0.005178213119506836
20,1,1186.44,0.4079611301422119,2085.4799999999996,0.0001819133758544922,2346.73,0.10926485061645508,3138.12,0.006837129592895508
20,2,1602.4200000000003,0.4719970226287842,3160.05,0.00031185150146484375,1986.5700000000002,0.1946239471435547,1940.4900000000002,0.012605905532836914
20,3,1176.76,0.1181039810180664,1620.1299999999999,0.00015687942504882812,1176.76,0.08090782165527344,2020.4799999999998,0.004786968231201172
20,4,1206.3500000000001,0.12261605262756348,1948.0000000000002,0.00015115737915039062,1486.02,0.06839823722839355,1953.74,0.004221916198730469
30,0,4463.429999999999,0.3643798828125,8237.019999999999,0.00024175643920898438,5195.719999999998,0.25623106956481934,8599.220000000001,0.014935016632080078
30,1,3662.93,0.4904489517211914,4340.02,0.00021696090698242188,3914.7499999999995,0.18465518951416016,4596.26,0.011323213577270508
30,2,2005.2499999999998,0.675001859664917,4259.58,0.0002200603485107422,2603.08,0.20450782775878906,3268.52,0.013918876647949219
30,3,3784.15,0.3765532970428467,5044.889999999999,0.0002238750457763672,3784.15,0.2138810157775879,4715.119999999999,0.013541936874389648
30,4,1790.39,1.0870120525360107,2582.7799999999997,0.00017786026000976562,2193.56,0.20869827270507812,3303.01,0.011355876922607422
40,0,4204.25,0.35390591621398926,5073.049999999999,0.0002162456512451172,4219.1,0.2045881748199463,4552.76,0.015039920806884766
40,1,3384.2599999999998,0.61055588722229,4911.58,0.0002129077911376953,3544.22,0.2105410099029541,6443.05,0.013846158981323242
40,2,1556.34,1.6005558967590332,3053.09,0.00019097328186035156,2745.8500000000004,0.26193928718566895,2591.79,0.00946807861328125
40,3,5659.01,0.3354170322418213,6219.43,0.00020194053649902344,5659.01,0.17981696128845215,6133.989999999999,0.010615110397338867
40,4,2337.17,1.830071210861206,4492.98,0.0001957416534423828,2902.0499999999997,0.2313218116760254,3418.4800000000005,0.013175010681152344
50,0,3960.580000000001,0.5513629913330078,7492.020000000001,0.0002770423889160156,4931.55,0.3010139465332031,4942.620000000001,0.018065929412841797
50,1,2246.199999999997,0.7621057033538818,4329.039999999999,0.00037789344787597656,2585.0,0.2632009983062744,3879.35,0.018925905227661133
50,2,6210.329999999999,0.8648562431335449,8904.770000000002,0.0003457069396972656,6795.959999999999,0.40271782875061035,9257.32,0.028053998947143555
50,3,2887.9799999999996,6.486749172210693,5689.039999999999,0.0003540515899658203,4107.99,0.37119388580322266,5689.039999999999,0.02766585350036621
50,4,4515.299999999999,1.3783879280090332,6123.38,0.00035500526428222656,7942.950000000001,0.3672220706939697,10104.39,0.020447969436645508
60,0,2892.81,2.0471930503845215,5288.89,0.00025177001953125,3825.28,0.2944958209991455,6814.26,0.015088081359863281
60,1,2285.41,0.7972919940948486,3491.67,0.00032210350036621094,2648.9799999999996,0.45444416999816895,3434.0999999999995,0.026428937911987305
60,2,3993.45,3.449308156967163,4953.559999999999,0.00035190582275390625,4374.94,0.41471314430236816,7825.32,0.029128074645996094
60,3,4381.97,4.0177459716796875,6677.139999999999,0.0004801750183105469,5392.38,0.6342861652374268,6196.330000000002,0.03826093673706055
60,4,4688.09,0.9224138259887695,7818.919999999999,0.0005311965942382812,5339.129999999999,0.5281331539154053,7696.629999999999,0.037924766540527344
70,0,5132.66,1.1441683769226074,7808.9400000000005,0.00034427642822265625,5806.210000000001,0.4899721145629883,7889.969999999999,0.02948904037475586
70,1,3488.8799999999997,1.2356648445129395,5288.019999999999,0.00032782554626464844,4430.07,0.5268690586090088,4791.45,0.03263592720031738
70,2,6006.48,2.6396901607513428,9754.199999999999,0.00040912628173828125,7238.74,0.6187570095062256,8485.230000000001,0.03750419616699219
70,3,4865.83,5.102463006973267,7116.799999999999,0.00045800209045410156,5429.4,0.553433895111084,5861.17,0.041007041931152344
70,4,3365.71,4.719671964645386,6516.150000000001,0.00030112266540527344,3843.3900000000003,0.45121312141418457,6613.12,0.02581787109375
80,0,4564.639999999999,1.6101088523864746,8280.880000000001,0.0005209445953369141,5853.97,0.6413121223449707,7092.88,0.03947877883911133
