batch size,trial #,Rand_Round,Rand_Round Time,,500,600,700,800,900,1000,1100
500,0,6365.18599999999,7.93372964859009,,6365.18599999999,11438.666,15204.617,19469.825,25638.875,31205.792,37553.362
500,1,6429.07599999999,7.63837242126465,,6429.07599999999,13905.326,11692.943,22452.082,28553.336,31858.027,39947.317
500,2,6669.07699999999,7.8061261177063,,6669.07699999999,12354.232,13461.715,19870.482,28103.387,31879.232,39308.595
500,3,4390.627,7.77207660675049,,4390.627,12224.182,12990.122,22777.826,25532.337,29676.826,39995.982
500,4,7655.40599999999,7.6766369342804,,7655.40599999999,11511.912,12281.272,20356.707,25048.526,32368.897,40004.082
500,5,10049.702,7.77382397651672,,10049.702,10545.527,15805.896,21158.065,30386.775,29211.696,38329.116
500,6,6081.01699999999,7.92363047599793,,6081.01699999999,12075.656,13574.536,20724.992,26524.075,30889.897,38184.342
500,7,5867.975,7.79822373390198,,5867.975,12134.097,14707.602,21556.897,25406.855,30635.615,39294.646
500,8,7021.197,8.06642293930054,,7021.197,11282.947,14215.212,23474.542,26724.672,36370.383,38252.787
500,9,5264.34699999999,7.72155022621155,,5264.34699999999,12058.102,13696.692,24186.072,26552.276,31860.727,40049.623
500,10,6570.797,8.44333982467651,,6570.797,13133.966,12933.296,20787.375,27067.006,31223.096,39867.856
500,11,10049.702,7.88738036155701,,10049.702,11957.146,13853.502,20637.582,25757.377,30723.896,38077.886
500,12,8051.15599999999,7.85330891609192,,8051.15599999999,11753.822,13431.195,18961.512,25757.887,29838.013,37592.277
500,13,5129.56599999998,9.44289755821228,,5129.56599999998,11718.877,14384.466,21526.842,25014.896,30782.897,38305.417
500,14,6923.77199999999,8.38419890403748,,6923.77199999999,9753.01599999998,13130.855,21014.402,27022.065,30180.806,36646.206
500,15,5570.717,8.03455519676209,,5570.717,14333.996,14929.487,22966.493,28492.306,30382.087,40984.342
500,16,4665.337,7.77386522293091,,4665.337,12201.557,11727.266,21592.657,25233.352,31828.216,37383.186
500,17,5987.87599999999,9.45247745513916,,5987.87599999999,11995.986,13201.726,19809.555,28427.547,30767.696,37301.916
500,18,5244.92199999999,8.49920439720154,,5244.92199999999,11619.317,13980.472,20630.642,26963.836,30517.435,37452.822
500,19,5125.717,8.18963956832886,,5125.717,11478.957,13566.642,23290.432,25348.357,31572.973,37136.436
500,20,8471.32699999999,8.20906376838684,,8471.32699999999,11340.076,15949.646,21427.897,26452.465,31591.867,37129.887
500,21,6518.885,8.08565926551819,,6518.885,12315.672,15008.512,20489.767,27392.215,29653.213,41524.132
500,22,5743.945,7.95691132545471,,5743.945,11641.662,13362.866,19460.556,24700.857,30870.017,40703.127
500,23,5264.34699999999,7.77673554420471,,5264.34699999999,10923.927,13479.852,21405.652,25109.236,31766.227,42164.306
500,24,5417.12499999999,8.02220344543457,,5417.12499999999,12189.826,14432.612,21040.857,24426.492,30712.202,38425.962
500,25,5129.56599999998,7.77270364761353,,5129.56599999998,10854.406,13546.482,21159.562,25187.923,30227.082,35675.092
500,26,8950.66199999999,8.31871461868286,,8950.66199999999,12577.656,14750.675,20712.456,29476.772,32801.595,36346.286
