batch_size,trial #,naive objective val,inexact objective val,exact objective val
25,0,10272.0,5449.2569612631305,5214.524043620794
25,1,9281.0,9281.0,6872.937564167953
25,2,9673.0,6277.65475854318,4445.524240738308
25,3,9970.0,8480.157181431096,3754.491613874755
50,0,11057.0,9922.592923789507,7223.995569001752
50,1,11366.0,10553.050430732063,4875.124344498852
50,2,10198.951272668892,9727.104854934762,5991.3206965085565
50,3,10272.0,6092.523875922818,4371.506353675927
75,0,10272.0,5709.252570731342,3082.621933410811
75,1,10467.866197711817,8843.08336844621,5973.276100616404
75,2,11057.0,6942.7121293088185,5145.499239724304
75,3,9970.0,6839.016919555317,4656.938826674477
100,0,11009.252083177802,4711.809685700013,2122.6642566314245
100,1,11057.0,9399.693004261368,5187.160688920458
