batch_size,trial #,naive objective val,inexact objective val,greedy objective val
500,0,6849.967000000001,1628.1039999999994,0.0
500,1,18979.38700000002,6950.832000000013,8579.912
500,2,15794.467,2833.1820000000116,5553.276000000009
500,3,6453.077000000008,2787.016999999996,4099.037
500,4,7923.417000000012,1437.8470000000161,0.0
600,0,20633.57700000001,6027.176000000007,9189.952000000001
600,1,28968.467000000015,7574.712000000003,16657.796000000006
600,2,16751.597000000012,5367.693000000003,10976.197000000004
600,3,24587.217000000015,6342.102000000017,10267.957000000006
600,4,29354.66700000002,8699.62599999999,18234.29599999997
700,0,31916.294000000016,13331.965999999993,20810.73400000001
700,1,26631.246999999992,7758.211999999996,11243.296000000006
700,2,32927.95199999999,12113.765999999978,23459.48599999997
700,3,48031.21699999999,19522.177000000007,24164.847000000005
700,4,33700.54700000002,12265.387000000006,18473.584000000003
800,0,36448.84700000001,16605.114999999983,17998.22700000001
800,1,38651.087,17517.135000000002,21564.333999999988
800,2,42197.07699999999,18725.896999999994,23117.17600000001
800,3,42269.26700000001,17075.457,21789.226000000013
800,4,41784.37699999999,17158.941999999992,26102.20399999996
900,0,29622.232000000015,12385.365000000013,15113.046999999988
900,1,44140.537,21255.087000000003,25913.856999999964
900,2,40409.50699999994,20957.85199999998,25150.00700000001
900,3,58260.06699999994,23733.966000000004,28108.275999999994
900,4,47370.45699999998,27898.351999999973,28199.89599999999
1000,0,77615.99699999996,37376.41200000001,43283.66200000004
1000,1,46962.97699999997,22075.692000000006,28353.015999999992
1000,2,59629.48699999995,31624.415999999997,33934.25199999999
1000,3,41344.707000000024,21951.77500000003,25366.07400000003
1000,4,53437.17700000007,26227.172999999984,29897.36699999998
1100,0,59679.74400000005,31624.225000000042,36166.587
1100,1,71642.157,39978.46200000003,41024.077000000005
1100,2,63914.04699999999,32612.47700000003,37387.22600000001
1100,3,59264.567000000025,33849.725999999966,38153.346999999965
1100,4,63656.82699999995,33971.082999999984,36518.154
1200,0,69676.14700000008,37086.47600000003,41541.33700000004
1200,1,78249.90699999998,40898.74500000001,50009.66600000001
1200,2,79955.89700000003,38643.66199999998,47649.34600000002
1200,3,55774.64699999998,30706.67199999998,34279.01599999999
1200,4,74769.61700000004,38875.41499999999,44084.846999999994
1300,0,68566.30699999994,40779.23699999998,50690.71700000005
1300,1,66791.1769999999,40764.486999999965,46894.73700000002
1300,2,72353.42700000001,39133.73300000001,41427.456000000006
1300,3,75148.43699999996,37033.982,43835.686000000045
1300,4,78159.19699999993,48046.25199999998,49029.186
1400,0,84403.16699999996,48606.345999999976,56341.865999999995
1400,1,90509.53199999999,43745.394999999975,49147.996000000014
1400,2,79229.80700000003,44015.721999999994,53453.50400000003
1400,3,80212.77699999999,49858.36600000006,52486.60700000006
1400,4,79272.99699999994,49666.073000000004,55201.30599999998
1500,0,75734.41699999994,42577.38599999995,48901.375000000044
1500,1,91174.237,50051.512,55681.22699999997
1500,2,90659.12700000001,59084.07599999995,60250.963999999934
