batch_size,trial #,naive obective val,inexact objective val,greedy objective val
600,0,25237.837000000018,8961.367000000002,18160.644
600,1,23378.926999999992,7389.115000000005,11640.766000000014
600,2,11772.414000000012,2296.6860000000015,16433.316000000017
600,3,30039.616999999973,12301.685000000005,15242.891999999996
600,4,22748.546999999995,9324.381999999994,5892.735999999979
700,0,34548.92700000001,8737.246999999992,7310.873999999996
700,1,27879.807000000004,9079.272,18166.235999999986
700,2,26198.996999999978,9572.076999999994,15654.842000000015
700,3,23223.867000000002,8848.973000000002,14270.145999999997
700,4,31585.256999999994,13544.235999999986,15683.442000000035
800,0,47985.607,18463.81599999999,24790.796000000006
800,1,32490.29700000004,15467.621999999992,25395.572000000004
800,2,48772.74699999996,19530.805000000008,24458.17599999998
800,3,50101.36700000003,24692.816000000013,22788.091999999993
800,4,34438.74700000002,14893.385999999984,18969.402000000006
900,0,44370.066999999995,18601.542000000012,32135.76600000002
900,1,34845.96700000005,15401.68599999998,26863.443999999996
900,2,47823.837,21185.116999999995,24234.806999999983
900,3,44739.47700000001,20060.515000000014,33745.42600000001
900,4,52380.297000000006,25370.29200000002,34424.31599999996
1000,0,51769.14699999997,28124.75599999999,33429.67700000001
1000,1,57062.02700000003,30560.75700000003,39695.535999999964
1000,2,52628.37699999999,29596.27300000002,29282.39500000002
1000,3,54262.817000000025,28449.84700000002,33679.04599999999
1000,4,48111.49200000001,26519.55200000003,32787.73700000004
