Batch Size,Trial,Inexact Objective,Inexact Time,Greedy Objective,Greedy Time,Naive Objective,Naive Time
500,0,3286.642000000029,3.092006,3016.666000000001,0.188042,8697.797000000017,0.001734
500,1,3130.402000000002,3.070383,1208.3820000000196,0.191614,10995.927,0.001763
500,2,4472.06700000001,2.906764,9677.562000000009,0.177638,13487.367000000024,0.001723
500,3,4473.5119999999915,2.757374,5038.016000000007,0.178612,14722.526999999991,0.001645
500,4,3049.0269999999873,2.758819,8454.201999999994,0.181738,19373.692,0.001666
600,0,10152.25199999999,5.827142,13055.057000000004,0.2114,24901.906999999974,0.00198
600,1,7849.342000000008,6.495586,12974.226000000013,0.244604,26833.897000000015,0.002275
600,2,4608.175000000003,3.571782,8888.792000000005,0.21938,18184.806999999997,0.002076
600,3,6025.426000000007,10.093913,9301.936000000005,0.194735,17419.547000000024,0.001969
600,4,8359.26299999998,25.722992,11564.366999999995,0.224818,25652.93700000003,0.002013
700,0,8654.936000000009,8.07418,12791.175000000003,0.2931,22657.147000000008,0.002571
700,1,14613.045000000027,23.921708,18842.541999999998,0.276698,30484.856999999993,0.002635
700,2,9704.501999999997,16.103702,16001.031999999996,0.242938,23500.976999999995,0.002244
700,3,11129.576000000023,33.957451,20571.926000000007,0.277634,26469.332000000028,0.002671
700,4,11851.007000000001,8.04322,11336.056000000008,0.272751,22281.496999999992,0.002349
800,0,17440.49500000001,11.580384,22380.787,0.288995,36694.087000000014,0.002704
800,1,23495.00199999999,8.605776,24924.677000000007,0.304408,43718.90699999998,0.002837
800,2,19787.567,10.392649,26543.155,0.286966,42537.53699999997,0.003026
800,3,18040.746999999992,9.144155,21821.532000000017,0.292008,38081.17700000001,0.002878
800,4,20511.452,10.392932,26671.371999999992,0.291716,40458.63199999998,0.002636
900,0,30865.122,20.327485,34991.31699999998,0.34573,56600.397000000055,0.003206
900,1,23746.31599999999,17.76099,24395.551999999992,0.31591,42066.49699999999,0.002935
900,2,29255.156000000003,34.235216,34810.587,0.341153,60365.336999999956,0.003127
900,3,19324.706,9.116795,25256.257,0.32336,47237.707000000024,0.002935
900,4,18791.096000000005,125.486806,24681.921999999995,0.349602,38090.96699999999,0.003161
1000,0,31852.452000000016,16.550167,39707.72500000002,0.381853,64799.65200000003,0.003557
1000,1,17184.403000000017,93.000628,21160.272,0.359609,35786.08700000003,0.003229
1000,2,28678.33700000004,43.991008,38550.837000000014,0.389982,53658.85700000003,0.003426
1000,3,24901.444999999992,16.175792,31905.837000000003,0.432575,60292.397,0.003397
1000,4,30566.44299999999,17.735967,33654.717000000004,0.408141,54390.88699999997,0.003435
1100,0,25678.315000000002,25.252658,33952.697,0.392855,49884.20700000005,0.00362
1100,1,37937.426000000014,40.205826,40271.90600000001,0.392781,61256.58699999997,0.003659
1100,2,35628.10699999999,13.348606,50307.93699999999,0.408114,69735.777,0.00379
1100,3,37396.71699999999,12.981314,44898.36199999998,0.402393,75171.68700000002,0.003697
1100,4,32953.06600000001,13.695456,38351.292,0.40248,63849.83700000003,0.003712
1200,0,37516.617,19.545025,44951.38600000003,0.419077,68282.09699999989,0.003926
1200,1,38761.86500000002,23.072765,39811.085999999996,0.446313,70355.11700000001,0.003993
1200,2,38237.102,22.510247,43056.747,0.452874,72858.5769999999,0.004234
1200,3,39066.49200000001,76.328131,47744.31199999999,0.457335,60010.577000000005,0.004029
1200,4,37355.941999999995,26.883358,48565.491999999984,0.460977,72826.307,0.004057
