batch_size,trial #,naive obective val,inexact objective val
100,0,10750.75986708681,7038.473465475092
100,1,9740.0,7402.279136485209
100,2,9673.0,10327.54548839463
100,3,11057.0,7273.287039729326
100,4,11057.0,8068.0746271551325
200,0,11057.0,4122.9003199742965
200,1,9706.11477587821,6744.519649726219
200,2,10604.269693891249,5014.367396268333
200,3,11366.0,4428.760353346093
200,4,11057.0,6651.129480276013
300,0,10589.83395951426,4291.1815447829085
300,1,11057.0,6146.585150397419
300,2,11057.0,5062.600080282131
300,3,11057.0,8744.375425885188
300,4,10272.0,4662.793624786205
400,0,10272.0,4913.797421969381
400,1,11057.0,4982.089738423823
400,2,11119.28166681301,4685.154999205457
400,3,10272.0,3196.7302947751486
400,4,11057.0,6148.344897022225
500,0,10272.0,6668.329672714435
500,1,10710.764233279955,4011.4753554306426
500,2,11057.0,5981.177055658285
500,3,11057.0,3979.1178427264495
500,4,11057.0,5421.1251378463985
600,0,10278.960187333047,5066.2552017339
600,1,11057.0,5694.716109511877
600,2,11057.0,6066.693777610324
600,3,11057.0,5102.60521189212
600,4,11057.0,4813.396629563831
700,0,11057.0,4952.223223645748
700,1,11057.0,5615.100779482145
700,2,10272.0,4622.636317896835
700,3,11057.0,4133.690378369682
700,4,11057.0,4644.183261221757
800,0,11057.0,4430.699497131052
800,1,11057.0,6416.840976206649
800,2,11057.0,5624.621386646211
800,3,11057.0,3765.520567591735
800,4,11057.0,5754.749164443665
900,0,10523.892290572774,5436.998031657946
900,1,11057.0,6140.47071618554
900,2,11057.0,5390.009134895257
900,3,11057.0,5111.068514706643
900,4,11057.0,5941.01804065652
