
batch_size,trial #,naive obective val,inexact objective val,exact objective val
25,0,9970.0,9111.179904509816,0.0
25,1,11057.0,7190.668546931409,0.0
25,2,10272.0,4728.026978673754,0.0
25,3,11057.0,7583.33040354406,0.0
50,0,9740.0,8637.731015284293,0.0
50,1,9740.0,9739.999999999996,0.0
50,2,10272.0,13216.37547568191,0.0
50,3,11366.0,9275.20139512072,0.0
75,0,11057.0,9031.067175204267,0.0
75,1,9740.0,9722.450330928034,0.0
75,2,11057.0,6741.399529644335,0.0
75,3,10272.0,7860.732737696126,0.0
100,0,9970.0,4990.4569458706155,0.0
100,1,10272.0,10017.025039752636,0.0
100,2,11050.844396205655,6156.805370364866,0.0
100,3,11057.0,5057.027618069273,0.0
