batch_size,trial #,naive obective val,inexact objective val,greedy objective val
600,0,19555.976999999995,6664.485000000015,51825.797000000006
600,1,17491.613999999994,4822.353999999999,52798.42699999997
600,2,24723.04699999998,6779.355000000018,49893.33599999998
600,3,25115.63700000002,4354.337000000003,58941.65699999998
600,4,16590.137000000006,4593.903000000009,61832.897000000026
700,0,35569.88699999999,14895.271999999986,70837.71700000008
700,1,46502.50699999998,24516.646999999986,71941.06700000001
700,2,17821.076999999994,8606.105000000025,46158.457000000024
700,3,39457.70699999998,18744.895999999982,61306.197000000015
700,4,41254.40700000001,13828.556000000008,68441.00199999996
800,0,34026.152,14420.642000000003,71437.56200000003
800,1,44279.80699999997,17399.325999999975,72863.65199999994
800,2,41934.447000000015,16843.525999999998,69927.32200000007
800,3,43404.50200000001,18234.693999999996,64048.73700000001
800,4,40605.15700000001,19158.43200000001,73483.48700000002
900,0,44726.62700000002,23488.941999999985,87162.36700000001
900,1,41711.707000000024,29088.106000000007,109134.28200000012
900,2,51700.197,25308.226000000017,91359.8970000001
900,3,50428.90700000001,22002.62700000001,83882.80199999998
900,4,63174.49699999996,23328.555,84802.04699999995
1000,0,50276.397000000026,26028.675000000047,116509.04699999999
1000,1,65357.72700000001,38480.44599999999,106741.72700000001
1000,2,57975.117,32820.56299999998,104548.97200000001
